"Format","AiM CSV File"
"Session","Perimeter"
"Vehicle",""
"Racer",""
"Championship",""
"Comment",""
"Date","Saturday, September 27, 2025"
"Time","11:35 AM"
"Sample Rate","20"
"Duration","561.987"
"Segment","Session"
"Beacon Markers","19.941","47.974","73.706","98.908","119.259","139.18","159.419","179.435","199.289","218.969","238.601","258.149","277.695","297.127","316.724","336.369","356.142","376.199","395.585","415.089","434.46","453.897","473.39","493.481","513.153","533.062","561.987"
"Segment Times","0:19.941","0:28.033","0:25.732","0:25.202","0:20.351","0:19.921","0:20.239","0:20.016","0:19.854","0:19.680","0:19.632","0:19.548","0:19.546","0:19.432","0:19.597","0:19.645","0:19.773","0:20.057","0:19.386","0:19.504","0:19.371","0:19.437","0:19.493","0:20.091","0:19.672","0:19.909","0:28.925"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","Predictive Time","Prev Lap Diff","Temp","AccelerometerX","AccelerometerY","AccelerometerZ","GyroX","GyroY","GyroZ","Logger Temperature","Internal Batt","RPM","Steering Angle","Throttle","BrakePressure","Distance on GPS Speed"
"s","mph"," ","g","g","deg","deg","deg/s","ft","ft","mph","mi","deg","deg"," "," ","°F","g","g","g","deg/s","deg/s","deg/s","°F","V","rpm","deg","%","bar","mi"

"0.000","35.0189","16","0.0000","0.0000","0.1688","-113.6306","0.0000","613.4779","0.1286","0.1600","6.2137","42.83786884","-78.68835966","0.0000","0.0000","125.3187","-0.0932","-0.4045","-0.7705","31.6406","8.2969","15.0469","72.0500","4.0480","5523.0000","26.5312","7.1797","91.6250","0.0000"
"0.050","35.0189","16","0.0000","0.0000","0.1688","-113.6306","0.0000","613.4779","0.1286","0.1600","6.2137","42.83786884","-78.68835966","0.0000","0.0000","125.3187","-0.1248","-0.3602","-0.7957","31.6406","8.2969","15.0469","72.0500","4.0480","5523.0000","26.5312","7.1797","91.6250","0.0000"
"0.100","35.0189","16","0.0000","0.0000","0.1688","-113.6306","0.0000","613.4779","0.1286","0.1600","6.2137","42.83786884","-78.68835966","0.0000","0.0000","125.3187","-0.1499","-0.3896","-0.8364","31.6406","8.2969","15.0469","72.0500","4.0480","5523.0000","26.5312","7.1797","91.6250","0.0000"
"0.150","35.0189","16","0.0000","0.0000","0.1688","-113.6306","0.0000","613.4779","0.1286","0.1600","6.2137","42.83786884","-78.68835966","0.0000","0.0000","125.3187","-0.1146","-0.3403","-0.8472","31.6406","8.2969","15.0469","72.0500","4.0480","5523.0000","26.5312","7.1797","91.6250","0.0000"
"0.200","35.0189","16","0.0000","0.0000","0.1688","-113.6306","0.0000","613.4779","0.1286","0.1600","6.2137","42.83786884","-78.68835966","0.0000","0.0000","125.3187","-0.1450","-0.3442","-0.8481","31.6406","8.2969","15.0469","72.0500","4.0480","5523.0000","26.5312","7.1797","91.6250","0.0000"
"0.250","35.0189","16","0.0000","0.0000","0.1688","-113.6306","0.0000","613.4779","0.1286","0.1600","6.2137","42.83786884","-78.68835966","0.0000","0.0000","125.3187","-0.1722","-0.4286","-0.8430","18.2500","34.6875","28.6250","72.0500","4.0480","5523.0000","26.5312","7.1797","91.6250","0.0000"
"0.300","35.0189","16","0.0000","0.0000","0.1688","-113.6306","0.0000","613.4779","0.1286","0.1600","6.2137","42.83786884","-78.68835966","0.0000","0.0000","125.3187","-0.1719","-0.4075","-0.8750","5.9844","-65.0625","9.4375","72.0500","4.0480","5523.0000","26.3047","7.1797","91.6250","0.0000"
"0.350","35.0189","16","0.0000","0.0000","0.1688","-113.6306","0.0000","613.4779","0.1286","0.1600","6.2137","42.83786884","-78.68835966","0.0000","0.0000","125.3187","-0.2300","-0.4514","-0.9041","-29.8047","7.7734","42.6562","72.0500","4.0480","5523.0000","26.9219","7.1797","91.6250","0.0000"
