"Format","AiM CSV File"
"Session","Perimeter"
"Vehicle",""
"Racer",""
"Championship",""
"Comment",""
"Date","Saturday, September 27, 2025"
"Time","12:15 PM"
"Sample Rate","20"
"Duration","142.996"
"Segment","Session"
"Beacon Markers","18.605","41.218","61.264","80.951","100.514","120.23","142.996"
"Segment Times","0:18.605","0:22.613","0:20.046","0:19.687","0:19.563","0:19.716","0:22.766"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","Predictive Time","Prev Lap Diff","Temp","AccelerometerX","AccelerometerY","AccelerometerZ","GyroX","GyroY","GyroZ","Logger Temperature","Internal Batt","RPM","Steering Angle","Throttle","BrakePressure","Distance on GPS Speed"
"s","mph"," ","g","g","deg","deg","deg/s","ft","ft","mph","mi","deg","deg"," "," ","°F","g","g","g","deg/s","deg/s","deg/s","°F","V","rpm","deg","%","bar","mi"

"0.000","22.7592","4","0.0000","0.0000","1.9587","-131.8681","0.0000","471.3241","0.6562","2.4200","6.2137","42.83729729","-78.68784844","0.0000","0.0000","124.7000","-0.0521","-0.1201","-0.9619","-6.3477","1.6689","-1.1582","77.1406","4.0300","1455.0000","9.6953","5.5352","91.6250","0.0000"
"0.050","22.7592","4","0.0000","0.0000","1.9587","-131.8681","0.0000","471.3241","0.6562","2.4200","6.2137","42.83729729","-78.68784844","0.0000","0.0000","124.7000","-0.0498","-0.1198","-0.9634","-6.3477","1.6689","-1.1582","77.1406","4.0300","1455.0000","9.6953","5.5352","91.6250","0.0000"
"0.100","22.7592","4","0.0000","0.0000","1.9587","-131.8681","0.0000","471.3241","0.6562","2.4200","6.2137","42.83729729","-78.68784844","0.0000","0.0000","124.7000","-0.0433","-0.1154","-0.9644","-6.3477","1.6689","-1.1582","77.1406","4.0300","1455.0000","9.6953","5.5352","91.6250","0.0000"
"0.150","22.7592","4","0.0000","0.0000","1.9587","-131.8681","0.0000","471.3241","0.6562","2.4200","6.2137","42.83729729","-78.68784844","0.0000","0.0000","124.7000","-0.0416","-0.1139","-0.9653","-6.3477","1.6689","-1.1582","77.1406","4.0300","1455.0000","9.6953","5.5352","91.6250","0.0000"
"0.200","22.7592","4","0.0000","0.0000","1.9587","-131.8681","0.0000","471.3241","0.6562","2.4200","6.2137","42.83729729","-78.68784844","0.0000","0.0000","124.7000","-0.0435","-0.1172","-0.9658","-6.3477","1.6689","-1.1582","77.1406","4.0300","1455.0000","9.6953","5.5352","91.6250","0.0000"
"0.250","22.7592","4","0.0000","0.0000","1.9587","-131.8681","0.0000","471.3241","0.6562","2.4200","6.2137","42.83729729","-78.68784844","0.0000","0.0000","124.7000","-0.0488","-0.1212","-0.9641","-2.9717","-0.9763","-1.3843","77.1406","4.0300","1455.0000","9.6953","5.5352","91.6250","0.0000"
"0.300","22.7592","4","0.0000","0.0000","1.9587","-131.8681","0.0000","471.3241","0.6562","2.4200","6.2137","42.83729729","-78.68784844","0.0000","0.0000","124.7000","-0.0499","-0.1250","-0.9619","0.3254","-2.3574","-2.0664","77.1406","4.0300","1455.0000","9.7129","5.5352","91.6250","0.0000"
"0.350","22.7592","4","0.0000","0.0000","1.9587","-131.8681","0.0000","471.3241","0.6562","2.4200","6.2137","42.83729729","-78.68784844","0.0000","0.0000","124.7000","-0.0460","-0.1212","-0.9646","0.8391","-1.7402","-0.3978","77.1406","4.0300","1455.0000","9.5371","5.5352","91.6250","0.0000"
