"Format","AiM CSV File"
"Session","Perimeter"
"Vehicle",""
"Racer",""
"Championship",""
"Comment",""
"Date","Saturday, September 27, 2025"
"Time","12:37 PM"
"Sample Rate","20"
"Duration","152.997"
"Segment","Session"
"Beacon Markers","27.321","48.964","68.779","88.397","107.97","127.637","152.997"
"Segment Times","0:27.321","0:21.643","0:19.815","0:19.618","0:19.573","0:19.667","0:25.360"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","Predictive Time","Prev Lap Diff","Temp","AccelerometerX","AccelerometerY","AccelerometerZ","GyroX","GyroY","GyroZ","Logger Temperature","Internal Batt","RPM","Steering Angle","HeartRate","HBattery","Throttle","BrakePressure","Distance on GPS Speed"
"s","mph"," ","g","g","deg","deg","deg/s","ft","ft","mph","mi","deg","deg"," "," ","°F","g","g","g","deg/s","deg/s","deg/s","°F","V","rpm","deg","bpm","%","%","bar","mi"

"0.000","0.0500","16","0.0000","0.0000","45.0277","158.1461","0.0000","636.9623","0.0377","0.1400","6.2137","42.83805534","-78.68763489","0.0000","0.0000","180.3875","-0.0422","-0.1327","-0.9658","0.0182","-0.0144","-0.0577","77.8438","4.0140","0.0000","1.2617","111.0000","85.0000","48.3750","91.6250","0.0000"
"0.050","0.0500","16","0.0000","0.0000","45.0277","158.1461","0.0000","636.9623","0.0377","0.1400","6.2137","42.83805534","-78.68763489","0.0000","0.0000","180.3875","-0.0422","-0.1327","-0.9661","0.0182","-0.0144","-0.0577","77.8438","4.0140","0.0000","1.2617","111.0000","85.0000","48.3750","91.6250","0.0000"
"0.100","0.0500","16","0.0000","0.0000","45.0277","158.1461","0.0000","636.9623","0.0377","0.1400","6.2137","42.83805534","-78.68763489","0.0000","0.0000","180.3875","-0.0427","-0.1324","-0.9663","0.0182","-0.0144","-0.0577","77.8438","4.0140","0.0000","1.2617","111.0000","85.0000","48.3750","91.6250","0.0000"
"0.150","0.0500","16","0.0000","0.0000","45.0277","158.1461","0.0000","636.9623","0.0377","0.1400","6.2137","42.83805534","-78.68763489","0.0000","0.0000","180.3875","-0.0423","-0.1325","-0.9661","0.0182","-0.0144","-0.0577","77.8438","4.0140","0.0000","1.2617","111.0000","85.0000","48.3750","91.6250","0.0000"
"0.200","0.0500","16","0.0000","0.0000","45.0277","158.1461","0.0000","636.9623","0.0377","0.1400","6.2137","42.83805534","-78.68763489","0.0000","0.0000","180.3875","-0.0421","-0.1328","-0.9653","0.0182","-0.0144","-0.0577","77.8438","4.0140","0.0000","1.2617","111.0000","85.0000","48.3750","91.6250","0.0000"
"0.250","0.0500","16","0.0000","0.0000","45.0277","158.1461","0.0000","636.9623","0.0377","0.1400","6.2137","42.83805534","-78.68763489","0.0000","0.0000","180.3875","-0.0427","-0.1328","-0.9658","-0.0106","-0.1010","-0.1037","77.8438","4.0140","0.0000","1.2617","111.0000","85.0000","48.3750","91.6250","0.0000"
"0.300","0.0500","16","0.0000","0.0000","45.0277","158.1461","0.0000","636.9623","0.0377","0.1400","6.2137","42.83805534","-78.68763489","0.0000","0.0000","180.3875","-0.0428","-0.1327","-0.9658","0.0318","-0.1868","-0.0860","77.8438","4.0140","0.0000","1.2559","111.0000","85.0000","48.3750","91.6250","0.0000"
"0.350","0.0500","16","0.0000","0.0000","45.0277","158.1461","0.0000","636.9623","0.0377","0.1400","6.2137","42.83805534","-78.68763489","0.0000","0.0000","180.3875","-0.0423","-0.1328","-0.9661","0.0438","0.0472","0.0165","77.8438","4.0140","0.0000","1.2603","111.0000","85.0000","48.3750","91.6250","0.0000"
