Session,Time,Best Lap,Avg Valid Lap,Peak RPM,Low RPM,Avg RPM,Top Speed (mph),Low Speed (mph),Max Throttle %,Min Throttle %,Avg Throttle %,Peak Lateral G,Valid Laps,Total Laps
Session 1,11:11 AM,0:11.602,0:19.371,6696,0,4758,42.6,0.0,94,7,37,1.36,13,13
Session 2,11:32 AM,0:02.353,0:17.326,6726,0,4554,42.4,0.1,94,8,49,1.39,6,6
Session 3,11:43 AM,0:10.219,0:18.107,6732,0,4623,42.4,0.1,96,7,52,1.45,6,6
Session 4,11:57 AM,0:05.007,0:17.322,6642,0,4663,42.2,0.1,95,6,51,1.37,6,6
Session 5,12:07 PM,0:04.285,0:17.201,6699,0,4668,42.3,0.0,96,7,51,1.62,6,6
Session 6,12:27 PM,0:11.724,0:18.213,6883,0,4738,42.6,0.1,94,7,50,1.36,6,6
Session 7,12:51 PM,0:19.115,0:20.139,6811,0,4615,42.9,0.0,94,8,49,1.36,5,6
Session 8,1:06 PM,0:00.722,0:16.273,6813,0,4790,43.3,0.2,96,11,50,1.37,6,6
Session 9,1:55 PM,0:04.896,0:17.202,6608,0,4660,41.8,0.1,94,9,52,1.57,6,6
Session 10,2:26 PM,0:05.097,0:17.451,6438,0,4612,41.0,0.0,94,9,53,1.46,6,6
